Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,Test R2
Linear Regression,2.9461846578987703,3.3952609258019204,3.865096498640634,4.1956808027213786,0.288773395896734,0.14149247411195787
Decision Tree,2.1796941623166166,3.5020801298621875,3.1124626558069415,4.586913415577966,0.5387932980006389,-0.02607784351591702
Random Forest,1.104493670886076,2.9965822784810126,1.486459347713574,3.7967142690102884,0.8948054152063457,0.29700043837714507
